Zip,Lat,Long
07302,40.689971, -74.0461025
10001,40.7475672, -73.987298
10001,40.7447178, -73.9951959
10001,40.7472363, -73.9933578
10001,40.7496396, -73.999034
10001,40.7577195, -74.0024316
10001,40.7602739, -74.0014019
10002,40.7098961, -73.9855833
10002,40.7101181, -73.9932525
10002,40.714369, -73.9775854
10002,40.7159065, -73.9820936
10002,40.7151603, -73.9873313
10002,40.7175134, -73.9858814
10002,40.7159568, -73.993266
10002,40.7190464, -73.9908407
10002,40.7210056, -73.9868387
10002,40.7223222, -73.9911397
10003,40.7245631, -73.990206
10003,40.727367, -73.9884655
10003,40.7302738, -73.9849042
10003,40.7312436, -73.9872095
10003,40.7317996, -73.989367
10003,40.7361115, -73.9872138
10003,40.7374356, -73.9904555
10003,40.7294159, -73.992391
10003,40.7312894, -73.9945614
10003,40.7337079, -73.9923266
10004,40.6906201, -74.0188321
10006,40.709126, -74.0129925
10007,40.7143288, -74.0100498
10007,40.7133674, -74.0018801
10009,40.7167358, -73.975094
10009,40.7206299, -73.9750259
10009,40.7191156, -73.9818442
10009,40.7212597, -73.981141
10009,40.7232443, -73.9730207
10009,40.722585, -73.9799302
10009,40.7243901, -73.978616
10009,40.7268631, -73.9768122
10009,40.7229641, -73.9858661
10009,40.7255579, -73.9837166
10009,40.7290092, -73.9814618
10009,40.7278421, -73.9715756
10010,40.7417922, -73.9872974
10010,40.7431498, -73.9905172
10010,40.7338155, -73.9755951
10010,40.7369488, -73.9814569
10011,40.7388112, -73.993678
10011,40.7344214, -73.9968603
10011,40.7354477, -73.9999139
10011,40.7398052, -73.9987715
10011,40.7422439, -73.9969962
10011,40.744638, -74.0026785
10011,40.7471119, -74.0008753
10011,40.7482954, -74.0083826
10012,40.7233237, -73.9954663
10012,40.7250607, -74.0004801
10012,40.7276733, -73.997083
10012,40.7262229, -73.993872
10012,40.7299685, -73.9995773
10013,40.7151605, -73.9988278
10013,40.7188624, -74.0061463
10013,40.7266923, -74.0097605
10013,40.7204979, -74.0122661
10013,40.7191639, -73.9966957
10013,40.7205701, -73.9993912
10013,40.722419, -74.0028628
10014,40.7304513, -74.0041204
10014,40.7294288, -74.0125049
10014,40.7341146, -74.0041065
10014,40.7338139, -74.0095895
10014,40.738085, -74.0032967
10014,40.7371288, -74.0090592
10016,40.7400705, -73.9792317
10016,40.7427062, -73.9758221
10016,40.7436753, -73.9781284
10016,40.7448656, -73.9808585
10016,40.7462136, -73.9840829
